RowNumber,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15634602,619,France,Female,42,2,0,1,1,1,101349,1
2,15647311,608,Spain,Female,41,1,83808,1,0,1,112543,0
3,15619304,502,France,Female,42,8,159661,3,1,0,113932,1
4,15701354,699,France,Female,39,1,0,2,0,0,93827,0
5,15737888,850,Spain,Female,43,2,125511,1,1,1,79084,0
6,15574012,645,Spain,Male,44,8,113756,2,1,0,149757,1
7,15592531,822,France,Male,50,7,0,2,1,1,10063,0
8,15656148,376,Germany,Female,29,4,115047,4,1,0,119347,1
9,15792365,501,France,Male,44,4,142051,2,0,1,74941,0
10,15592389,684,France,Male,27,2,134604,1,1,1,71726,0
11,15767821,528,France,Male,31,6,102017,2,0,0,80181,0
12,15737173,497,Spain,Male,24,3,0,2,1,0,76390,0
13,15632264,476,France,Female,34,10,0,2,1,0,26261,0
14,15691483,549,France,Female,25,5,0,2,0,0,190858,0
15,15600882,635,Spain,Female,35,7,0,2,1,1,65952,0
16,15643966,616,Germany,Male,45,3,143129,2,0,1,64327,0
17,15737452,653,Germany,Male,58,1,132603,1,1,0,5098,1
18,15788218,549,Spain,Female,24,9,0,2,1,1,14406,0
19,15661507,587,Spain,Male,45,6,0,1,0,0,158685,0
20,15568982,726,France,Female,24,6,0,2,1,1,54724,0
21,15577657,732,France,Male,41,8,0,2,1,1,170886,0
22,15597945,636,Spain,Female,32,8,0,2,1,0,138555,0
23,15699309,510,Spain,Female,38,4,0,1,1,0,118914,1
24,15725737,669,France,Male,46,3,0,2,0,1,8488,0
25,15625047,846,France,Female,38,5,0,1,1,1,187616,0
26,15738191,577,France,Male,25,3,0,2,0,1,124508,0
27,15736816,756,Germany,Male,36,2,136816,1,1,1,170042,0
28,15700772,571,France,Male,44,9,0,2,0,0,38433,0
29,15728693,574,Germany,Female,43,3,141349,1,1,1,100187,0
30,15656300,411,France,Male,29,0,59697,2,1,1,53483,0
31,15589475,591,Spain,Female,39,3,0,3,1,0,140469,1
32,15706552,533,France,Male,36,7,85312,1,0,1,156732,0
33,15750181,553,Germany,Male,41,9,110113,2,0,0,81899,0
34,15659428,520,Spain,Female,42,6,0,2,1,1,34411,0
35,15732963,722,Spain,Female,29,9,0,2,1,1,142033,0
36,15794171,475,France,Female,45,0,134264,1,1,0,27823,1
37,15788448,490,Spain,Male,31,3,145260,1,0,1,114067,0
38,15729599,804,Spain,Male,33,7,76549,1,0,1,98453,0
39,15717426,850,France,Male,36,7,0,1,1,1,40813,0
40,15585768,582,Germany,Male,41,6,70349,2,0,1,178074,0
41,15619360,472,Spain,Male,40,4,0,1,1,0,70154,0
42,15738148,465,France,Female,51,8,122522,1,0,0,181298,1
43,15687946,556,France,Female,61,2,117419,1,1,1,94154,0
44,15755196,834,France,Female,49,2,131395,1,0,0,194366,1
45,15684171,660,Spain,Female,61,5,155931,1,1,1,158338,0
46,15754849,776,Germany,Female,32,4,109421,2,1,1,126517,0
47,15602280,829,Germany,Female,27,9,112046,1,1,1,119708,1
48,15771573,637,Germany,Female,39,9,137844,1,1,1,117623,1
49,15766205,550,Germany,Male,38,2,103391,1,0,1,90878,0
50,15771873,776,Germany,Female,37,2,103769,2,1,0,194099,0
51,15616550,698,Germany,Male,44,10,116363,2,1,0,198059,0
52,15768193,585,Germany,Male,36,5,146051,2,0,0,86425,0
53,15683553,788,France,Female,33,5,0,2,0,0,116978,0
